,home,distance,type,assisted,result
583,0,1,2-pt layup,0,1
584,1,27,3-pt jump shot,0,0
585,1,2,2-pt dunk,0,1
586,1,4,2-pt layup,0,0
587,1,26,3-pt jump shot,0,0
588,1,16,2-pt jump shot,0,1
589,1,26,3-pt jump shot,0,0
590,1,8,2-pt jump shot,0,0
591,1,22,3-pt jump shot,1,1
592,1,1,2-pt layup,0,0
593,1,26,3-pt jump shot,1,1
594,1,27,3-pt jump shot,0,0
595,1,11,2-pt jump shot,0,0
596,1,3,2-pt jump shot,0,1
597,1,23,3-pt jump shot,0,0
598,1,18,2-pt jump shot,0,0
599,1,5,2-pt jump shot,0,0
600,1,2,2-pt layup,0,0
601,1,10,2-pt layup,0,0
602,1,9,2-pt jump shot,1,1
603,1,2,2-pt dunk,1,1
604,1,25,3-pt jump shot,0,0
605,1,0,2-pt layup,0,1
606,1,10,2-pt jump shot,0,0
607,1,24,3-pt jump shot,0,0
608,1,24,3-pt jump shot,1,1
609,1,2,2-pt layup,1,1
610,1,25,3-pt jump shot,0,0
611,1,24,3-pt jump shot,0,0
612,1,2,2-pt dunk,1,1
613,1,2,2-pt layup,0,1
614,1,4,2-pt hook shot,0,0
615,1,3,2-pt layup,0,0
616,1,22,3-pt jump shot,0,0
617,1,24,3-pt jump shot,0,0
618,1,23,3-pt jump shot,0,0
619,0,25,3-pt jump shot,0,0
620,0,0,2-pt layup,1,1
621,0,22,3-pt jump shot,0,0
622,0,24,3-pt jump shot,0,1
623,0,1,2-pt dunk,1,1
624,0,29,3-pt jump shot,0,0
625,1,13,2-pt jump shot,1,1
626,1,15,2-pt jump shot,0,0
627,1,2,2-pt layup,0,1
628,1,2,2-pt layup,0,0
629,1,1,2-pt layup,0,1
630,1,4,2-pt layup,0,0
631,1,10,2-pt jump shot,0,0
632,1,28,3-pt jump shot,1,1
633,1,27,3-pt jump shot,0,0
634,1,25,3-pt jump shot,0,1
635,1,26,3-pt jump shot,0,0
636,1,4,2-pt jump shot,0,0
637,1,2,2-pt layup,0,1
638,1,1,2-pt layup,0,0
639,1,2,2-pt layup,0,0
640,1,2,2-pt layup,0,1
641,1,17,2-pt jump shot,0,0
642,1,1,2-pt layup,0,0
643,1,2,2-pt layup,1,1
644,0,27,3-pt jump shot,0,0
645,0,10,2-pt jump shot,0,0
646,0,5,2-pt layup,0,1
647,0,2,2-pt layup,0,1
648,0,26,3-pt jump shot,1,1
649,0,0,2-pt dunk,0,1
650,0,0,2-pt layup,1,1
651,0,1,2-pt layup,1,1
652,0,1,2-pt layup,0,1
653,0,1,2-pt layup,0,0
654,0,2,2-pt layup,0,0
655,0,28,3-pt jump shot,0,0
656,0,11,2-pt jump shot,0,0
657,0,17,2-pt jump shot,1,1
658,0,25,3-pt jump shot,0,0
659,0,26,3-pt jump shot,0,0
660,0,25,3-pt jump shot,0,0
661,0,26,3-pt jump shot,0,0
662,0,26,3-pt jump shot,0,0
663,0,15,2-pt jump shot,0,0
664,0,14,2-pt jump shot,0,0
665,0,26,3-pt jump shot,0,0
666,1,11,2-pt jump shot,0,0
667,1,2,2-pt layup,0,0
668,1,26,3-pt jump shot,0,0
669,1,26,3-pt jump shot,1,1
670,1,25,3-pt jump shot,1,1
671,1,16,2-pt jump shot,0,1
672,1,18,2-pt jump shot,0,0
673,1,28,3-pt jump shot,1,1
674,1,3,2-pt layup,0,0
675,1,3,2-pt layup,0,0
676,1,23,3-pt jump shot,0,0
677,1,11,2-pt jump shot,0,0
678,1,0,2-pt layup,0,0
679,1,26,3-pt jump shot,1,1
680,1,27,3-pt jump shot,1,1
681,1,27,3-pt jump shot,0,0
682,0,24,3-pt jump shot,0,0
683,0,18,2-pt jump shot,0,1
684,0,25,3-pt jump shot,0,0
685,0,26,3-pt jump shot,0,0
686,0,23,3-pt jump shot,0,0
687,0,2,2-pt layup,1,1
688,0,25,3-pt jump shot,0,0
689,0,29,3-pt jump shot,0,0
690,1,2,2-pt layup,0,0
691,1,23,3-pt jump shot,0,0
692,1,21,2-pt jump shot,0,0
693,1,25,3-pt jump shot,0,0
694,1,1,2-pt dunk,1,1
695,1,27,3-pt jump shot,0,0
696,1,10,2-pt jump shot,0,0
697,1,25,3-pt jump shot,0,0
698,1,3,2-pt layup,1,1
699,1,2,2-pt layup,1,1
700,1,2,2-pt dunk,0,1
701,1,28,3-pt jump shot,1,1
702,1,23,3-pt jump shot,1,1
703,0,17,2-pt jump shot,0,0
704,0,24,3-pt jump shot,1,1
705,0,24,3-pt jump shot,0,0
706,0,26,3-pt jump shot,0,0
707,0,26,3-pt jump shot,0,0
708,0,2,2-pt jump shot,0,0
709,1,25,3-pt jump shot,1,1
710,1,2,2-pt layup,1,1
711,1,27,3-pt jump shot,1,1
712,1,3,2-pt layup,0,0
713,1,25,3-pt jump shot,0,1
714,1,3,2-pt jump shot,0,0
715,0,26,3-pt jump shot,0,0
716,0,8,2-pt jump shot,1,1
717,0,25,3-pt jump shot,0,0
718,0,1,2-pt layup,1,1
719,0,25,3-pt jump shot,0,0
720,0,25,3-pt jump shot,0,0
721,0,20,2-pt jump shot,0,0
722,0,23,3-pt jump shot,0,0
723,0,27,3-pt jump shot,1,1
724,0,23,3-pt jump shot,0,0
725,0,26,3-pt jump shot,0,0
726,0,25,3-pt jump shot,0,1
727,0,7,2-pt jump shot,0,0
728,0,18,2-pt jump shot,0,0
729,1,26,3-pt jump shot,0,0
730,1,23,3-pt jump shot,0,0
731,1,2,2-pt layup,0,0
732,1,2,2-pt layup,0,0
733,1,1,2-pt layup,0,1
734,1,25,3-pt jump shot,0,1
735,1,15,2-pt jump shot,0,1
736,1,1,2-pt layup,0,1
737,1,26,3-pt jump shot,0,0
738,1,26,3-pt jump shot,0,1
739,0,23,3-pt jump shot,0,0
740,0,7,2-pt layup,0,0
741,0,26,3-pt jump shot,1,1
742,0,0,2-pt layup,1,1
743,0,1,2-pt dunk,0,1
744,0,23,3-pt jump shot,0,0
745,0,20,2-pt jump shot,0,0
746,0,1,2-pt layup,0,1
747,0,1,2-pt dunk,1,1
748,1,25,3-pt jump shot,1,1
749,1,26,3-pt jump shot,0,0
750,1,24,3-pt jump shot,0,0
751,1,3,2-pt layup,0,1
752,1,1,2-pt layup,0,1
753,1,27,3-pt jump shot,1,1
