,home,distance,type,assisted,result
561,0,13,2-pt jump shot,0,1
562,0,26,3-pt jump shot,1,1
563,0,18,2-pt jump shot,0,1
564,0,10,2-pt jump shot,0,0
565,0,3,2-pt dunk,1,1
566,0,23,3-pt jump shot,1,1
567,0,25,3-pt jump shot,1,1
568,0,3,2-pt layup,0,0
569,0,18,2-pt jump shot,0,0
570,0,23,3-pt jump shot,1,1
571,0,3,2-pt layup,0,1
572,0,11,2-pt jump shot,0,1
573,0,13,2-pt jump shot,1,1
574,0,14,2-pt jump shot,0,1
575,0,25,3-pt jump shot,0,0
576,0,45,3-pt jump shot,0,0
577,0,12,2-pt jump shot,0,1
578,0,1,2-pt layup,0,0
579,0,26,3-pt jump shot,0,0
580,0,0,2-pt dunk,1,1
581,0,18,2-pt jump shot,0,0
582,1,1,2-pt layup,0,0
583,1,26,3-pt jump shot,1,1
584,1,27,3-pt jump shot,1,1
585,1,3,2-pt layup,1,1
586,1,23,3-pt jump shot,0,0
587,1,4,2-pt layup,0,1
588,1,3,2-pt layup,0,1
589,1,13,2-pt jump shot,0,0
590,1,4,2-pt layup,0,0
591,1,2,2-pt dunk,1,1
592,1,4,2-pt layup,0,0
593,1,2,2-pt layup,0,0
594,1,0,2-pt layup,0,0
595,1,9,2-pt jump shot,0,0
596,1,26,3-pt jump shot,1,1
597,1,22,2-pt jump shot,0,1
598,1,26,3-pt jump shot,0,0
599,1,25,3-pt jump shot,1,1
600,0,16,2-pt jump shot,0,1
601,0,22,3-pt jump shot,1,1
602,0,14,2-pt jump shot,0,0
603,0,25,3-pt jump shot,0,0
604,0,10,2-pt jump shot,0,0
605,0,19,2-pt jump shot,0,0
606,0,11,2-pt jump shot,0,1
607,0,2,2-pt layup,0,0
608,0,22,3-pt jump shot,0,0
609,0,2,2-pt layup,1,1
610,0,18,2-pt jump shot,1,1
611,0,24,3-pt jump shot,1,1
612,0,13,2-pt jump shot,0,1
613,0,19,2-pt jump shot,0,0
614,0,0,2-pt dunk,1,1
615,0,7,2-pt jump shot,0,0
616,0,23,3-pt jump shot,0,0
617,0,15,2-pt jump shot,0,0
618,0,11,2-pt jump shot,0,0
619,0,10,2-pt jump shot,0,0
620,0,25,3-pt jump shot,1,1
621,0,1,2-pt layup,0,0
622,0,1,2-pt layup,0,0
623,0,12,2-pt jump shot,0,0
624,0,1,2-pt layup,0,1
625,0,2,2-pt layup,0,0
626,0,1,2-pt layup,0,0
627,0,1,2-pt dunk,1,1
628,0,0,2-pt layup,0,1
629,0,18,2-pt jump shot,0,1
630,0,0,2-pt layup,0,1
631,0,12,2-pt jump shot,0,0
632,0,4,2-pt jump shot,0,0
633,0,2,2-pt layup,1,1
634,0,17,2-pt jump shot,0,1
635,0,0,2-pt layup,0,1
636,0,24,3-pt jump shot,1,1
637,0,16,2-pt jump shot,0,0
638,1,14,2-pt jump shot,1,1
639,1,3,2-pt jump shot,0,1
640,1,13,2-pt jump shot,0,1
641,1,19,2-pt jump shot,0,1
642,1,2,2-pt layup,0,1
643,1,2,2-pt dunk,0,1
644,1,9,2-pt jump shot,0,1
645,1,16,2-pt jump shot,0,1
646,1,12,2-pt jump shot,1,1
647,1,23,3-pt jump shot,0,0
648,1,3,2-pt layup,0,0
649,1,2,2-pt layup,0,1
650,1,2,2-pt dunk,1,1
651,1,20,2-pt jump shot,1,1
652,1,12,2-pt jump shot,0,0
653,1,3,2-pt layup,0,0
654,1,25,3-pt jump shot,0,0
655,1,27,3-pt jump shot,0,1
656,1,24,3-pt jump shot,0,0
657,1,13,2-pt jump shot,0,0
658,1,20,2-pt jump shot,0,0
659,1,24,3-pt jump shot,0,0
660,1,2,2-pt layup,1,1
661,1,0,2-pt dunk,1,1
662,1,16,2-pt jump shot,0,0
663,1,3,2-pt jump shot,1,1
664,1,15,2-pt jump shot,0,0
665,1,3,2-pt layup,0,1
666,1,17,2-pt jump shot,0,0
667,1,1,2-pt layup,0,0
668,1,1,2-pt dunk,1,1
669,1,2,2-pt layup,1,1
670,1,3,2-pt layup,1,1
671,1,16,2-pt jump shot,0,0
672,1,5,2-pt layup,1,1
673,0,29,3-pt jump shot,1,1
674,0,1,2-pt layup,0,1
675,0,2,2-pt layup,0,1
676,0,12,2-pt jump shot,0,0
677,0,1,2-pt layup,1,1
678,0,13,2-pt jump shot,0,1
679,0,1,2-pt layup,0,0
680,0,1,2-pt layup,1,1
681,0,1,2-pt dunk,0,0
682,0,10,2-pt jump shot,0,1
683,0,13,2-pt jump shot,0,1
684,0,20,2-pt jump shot,1,1
685,0,2,2-pt layup,0,0
686,0,3,2-pt layup,0,0
